Pfad,Kategorie,Dateiname,Beschreibung,Zuständigkeit
lib/main.dart,Root,main.dart,App-Einstiegspunkt und Supabase-Initialisierung,App-Start und Konfiguration
lib/core/events/events.dart,Core,events.dart,Barrel-File für Event-System,Import-Vereinfachung
lib/core/events/reset_event.dart,Core,reset_event.dart,Globaler Reset-Event für alle Screens,Event-Kommunikation
lib/core/services/services.dart,Core,services.dart,Barrel-File für Services,Import-Vereinfachung
lib/core/services/browser_return_service.dart,Core,browser_return_service.dart,Browser-Return Handling,Service-Layer
lib/core/theme/app_theme.dart,Core,app_theme.dart,Material Design Theme-Konfiguration,UI-Design
lib/features/home/ui/screens/home_screen.dart,Home,home_screen.dart,Hauptbildschirm der App,Home-Feature
lib/features/words/ui/cards/cards.dart,Words,cards.dart,Barrel-File für alle Cards,Import-Vereinfachung
lib/features/words/ui/cards/word_card.dart,Words,word_card.dart,Wiederverwendbare Wort-Karte,UI-Komponente
lib/features/words/ui/cards/swipeable_word_card.dart,Words,swipeable_word_card.dart,Swipeable Word-Card mit Gestures,UI Widget
lib/features/words/ui/cards/counter_badge.dart,Words,counter_badge.dart,Counter-Badge für Word-Count,UI Widget
lib/features/words/ui/cards/tap_flash.dart,Words,tap_flash.dart,Tap-Flash Animation-Effekt,UI Widget
lib/features/words/ui/cards/glow_sweep_ring.dart,Words,glow_sweep_ring.dart,Glow-Sweep Ring Animation,UI Widget
lib/features/words/application/application.dart,Words,application.dart,Barrel-File für Application Layer,Import-Vereinfachung
lib/features/words/application/learn_mode_controller.dart,Words,learn_mode_controller.dart,Learn Mode State Management,Business Logic
lib/features/words/application/word_providers.dart,Words,word_providers.dart,Riverpod Provider für Wörter,State Management
lib/features/words/data/supabase_word_repository.dart,Words,supabase_word_repository.dart,Supabase API Calls,Data Layer
lib/features/words/data/last_shared_word_provider.dart,Words,last_shared_word_provider.dart,SharedPreferences für letztes Wort,Data Persistence
lib/features/words/data/word_hub_taxonomy.dart,Words,word_hub_taxonomy.dart,Kategorie-Taxonomie,Data Model
lib/features/words/ui/screens/word_hub_screen.dart,Words,word_hub_screen.dart,Kategorie-Übersicht,UI Screen
lib/features/words/ui/screens/category_detail_screen.dart,Words,category_detail_screen.dart,Kategorie-Details mit Progress,UI Screen
lib/features/words/ui/screens/word_list_screen.dart,Words,word_list_screen.dart,Wort-Liste einer Kategorie,UI Screen
lib/features/words/ui/screens/learn_mode_screen.dart,Words,learn_mode_screen.dart,Hauptlern-Screen mit Karten,UI Screen
lib/features/words/ui/screens/category_detail_screen.dart,Words,category_detail_screen.dart,Kategorie-Details,UI Screen
lib/features/words/ui/screens/learn_mode_screen.dart,Words,learn_mode_screen.dart,Lern-Modus mit SRS-Algorithmus,UI Screen
lib/features/words/ui/widgets/widgets.dart,Words,widgets.dart,Barrel-File für alle Widgets,Import-Vereinfachung
lib/features/words/ui/widgets/reset_button.dart,Words,reset_button.dart,Hold-to-Confirm Reset-Button,UI Widget
lib/features/words/ui/widgets/vertical_stage_switch.dart,Words,vertical_stage_switch.dart,SRS Stage Anzeige (S0-S5),UI Widget
lib/core/ui/widgets/round_icon.dart,Core,round_icon.dart,Wiederverwendbare runde Icon-Buttons,UI Widget
lib/core/ui/widgets/progress_bar.dart,Core,progress_bar.dart,Generische Progress-Bar (0..1),UI Widget
lib/features/words/ui/widgets/play_pause_button.dart,Words,play_pause_button.dart,Play/Pause Toggle für Timer,UI Widget
lib/features/words/ui/widgets/cancel_timer_button.dart,Words,cancel_timer_button.dart,Timer-Cancel Button,UI Widget
lib/features/words/ui/widgets/timer_bar.dart,Words,timer_bar.dart,Timer-Progress-Bar (Feature-Wrapper),UI Widget
lib/features/words/ui/widgets/category_wheel.dart,Words,category_wheel.dart,Kategorie-Auswahl mit Scroll-Animation,UI Widget
lib/features/words/ui/widgets/level_badge.dart,Words,level_badge.dart,CEFR Level Badge (A1-C2),UI Widget
lib/features/words/ui/consts.dart,Words,consts.dart,UI-Konstanten (Farben Größen),UI Constants
lib/features/decks/domain/deck.dart,Decks,deck.dart,Deck-Datenmodell,Data Model
lib/features/push/push_service.dart,Push,push_service.dart,Push-Notification Service,Service Layer
lib/features/rewards/rewards_service.dart,Rewards,rewards_service.dart,Rewards/Badges Service,Service Layer
test/widget_test.dart,Test,widget_test.dart,Flutter Widget Tests,Testing
supabase/functions/ingest_word/index.ts,Backend,index.ts,TypeScript Funktion für Wort-Import,Backend Function
supabase/functions/translate-missing/index.ts,Backend,index.ts,DeepL Übersetzungs-Service,Backend Function
pubspec.yaml,Config,pubspec.yaml,Flutter-Projekt-Konfiguration Dependencies,Project Config
pubspec.lock,Config,pubspec.lock,Locked Dependencies (automatisch generiert),Dependency Lock
analysis_options.yaml,Config,analysis_options.yaml,Dart Linter-Konfiguration,Code Quality
README.md,Doc,README.md,Projekt-Dokumentation,Documentation
.env,Config,.env,Umgebungsvariablen (Supabase Keys etc.),Environment
.env.example,Config,.env.example,Beispiel für .env Datei,Environment Template
.gitignore,Config,.gitignore,Git-Ignore Regeln,Version Control
android/build.gradle.kts,Android,build.gradle.kts,Android Build-Konfiguration,Build Config
android/app/build.gradle.kts,Android,build.gradle.kts,App-spezifische Build-Konfiguration,Build Config
android/app/src/main/AndroidManifest.xml,Android,AndroidManifest.xml,Android Manifest,Android Config
android/app/src/main/kotlin/MainActivity.kt,Android,MainActivity.kt,Android Main Activity,Android Code
ios/Podfile,iOS,Podfile,CocoaPods Dependencies,iOS Config
ios/Runner/AppDelegate.swift,iOS,AppDelegate.swift,iOS App Delegate,iOS Code
ios/Runner/Info.plist,iOS,Info.plist,iOS App Info,iOS Config
web/index.html,Web,index.html,Web App HTML,Web Config
web/manifest.json,Web,manifest.json,Web App Manifest,Web Config
