"conflict_group","role","word_id","text","translation","from_lang","to_lang","level","tags","domain","pos","category_names","category_types","group_names","user_words_count","word_progress_count","user_word_srs_count","created_at","translated_by","translated_at","qa_score","qa_note","suggested_decision","notes"
"behind | 3d018bfe-bd5d-4ba2-a448-6a92f54eb7bb -> 857507cd-ca70-4a7d-bc5f-66dc09e7f648","candidate","3d018bfe-bd5d-4ba2-a448-6a92f54eb7bb","behind","hinter","EN","DE","","","","","Productivity","topic","Life & Daily Flow","0","0","0","2025-10-15T17:38:49.863731+00:00","","","","","",""
"behind | 3d018bfe-bd5d-4ba2-a448-6a92f54eb7bb -> 857507cd-ca70-4a7d-bc5f-66dc09e7f648","conflict","857507cd-ca70-4a7d-bc5f-66dc09e7f648","behind","hinter","en","de","A1","","","preposition","A1","topic","Levels & Progress","0","0","0","2025-10-21T10:23:00.226408+00:00","deepl","2025-10-22T07:48:46.496+00:00","","","",""
"dash | 0a29d3d0-ad57-4c78-94b7-ad6d603915c0 -> e09286d3-351c-4f04-a14a-b7d851c25713","candidate","0a29d3d0-ad57-4c78-94b7-ad6d603915c0","dash","Bindestrich","EN","DE","","","","","Productivity","topic","Life & Daily Flow","0","0","0","2025-10-15T19:16:58.760103+00:00","","","","","",""
"dash | 0a29d3d0-ad57-4c78-94b7-ad6d603915c0 -> e09286d3-351c-4f04-a14a-b7d851c25713","conflict","e09286d3-351c-4f04-a14a-b7d851c25713","dash","bindestrich","en","de","C2","","","other","C2","topic","Levels & Progress","0","0","0","2025-10-21T10:23:00.226408+00:00","deepl","2025-10-22T07:58:04.118+00:00","","","",""
"entire | 37a99d9c-9192-44ce-83b9-08eee8bca169 -> 2a5d060a-cddf-4a67-8ce7-a21367c00fe1","candidate","37a99d9c-9192-44ce-83b9-08eee8bca169","entire","gesamte","EN","DE","","","","","Productivity","topic","Life & Daily Flow","0","0","0","2025-10-15T19:03:10.740955+00:00","","","","","",""
"entire | 37a99d9c-9192-44ce-83b9-08eee8bca169 -> 2a5d060a-cddf-4a67-8ce7-a21367c00fe1","conflict","2a5d060a-cddf-4a67-8ce7-a21367c00fe1","entire","gesamte","en","de","B2","","","adjective","B2","topic","Levels & Progress","0","0","0","2025-10-21T10:23:00.226408+00:00","deepl","2025-10-22T07:58:04.118+00:00","","","",""
"incident | 8b48b271-2a4e-472e-a0d1-99c142cdc1ab -> f054cac4-7825-4d46-975e-ca008040a3ee","candidate","8b48b271-2a4e-472e-a0d1-99c142cdc1ab","incident","Vorfall","EN","DE","","","","","","","","0","0","0","2025-10-15T19:09:25.068716+00:00","","","","","",""
"incident | 8b48b271-2a4e-472e-a0d1-99c142cdc1ab -> f054cac4-7825-4d46-975e-ca008040a3ee","conflict","f054cac4-7825-4d46-975e-ca008040a3ee","incident","Störung/Vorfall","en","de","B1","","work-careers","noun","B2; Work & Careers","topic","Levels & Progress; Society & Systems","0","0","0","2025-10-20T21:31:21.635013+00:00","","","","","",""
"interview | 1aff8ead-820c-447c-9dc9-fe5981d91412 -> b07abd1a-d672-4f35-a12c-86c0ff47062d","candidate","1aff8ead-820c-447c-9dc9-fe5981d91412","interview","Interview","EN","DE","","","","","Productivity","topic","Life & Daily Flow","0","0","0","2025-10-15T16:11:52.117533+00:00","","","","","",""
"interview | 1aff8ead-820c-447c-9dc9-fe5981d91412 -> b07abd1a-d672-4f35-a12c-86c0ff47062d","conflict","b07abd1a-d672-4f35-a12c-86c0ff47062d","interview","Interview","en","de","A1","","media-news","noun","A1; Media & News","topic","Levels & Progress; Society & Systems","0","0","0","2025-10-20T20:58:02.453796+00:00","","","","","",""
"move | 0c165b4c-2afb-4861-ac60-75bf59a8611b -> ba6b854f-c6af-4751-b9e8-61d8374272a2","candidate","0c165b4c-2afb-4861-ac60-75bf59a8611b","move","umziehen","EN","DE","","","","","","","","0","0","0","2025-11-03T22:10:49.464415+00:00","deepl","2025-11-03T22:10:49.409+00:00","","","",""
"move | 0c165b4c-2afb-4861-ac60-75bf59a8611b -> ba6b854f-c6af-4751-b9e8-61d8374272a2","conflict","ba6b854f-c6af-4751-b9e8-61d8374272a2","move","bewegen","en","de","B1","","top-500-words","noun","A1; B1; Top 500 Words","topic","Language Tools; Levels & Progress","0","0","0","2025-10-21T07:40:35.658398+00:00","deepl","2025-10-22T07:58:29.143+00:00","","","",""
