structure_case,priority,word_key,base_term,de_translation,level,category,word_world,detected_level,detected_package,detected_topic,suggested_mapping,review_decision,review_note
level_only,1,f91f2280-02de-4ffa-82dc-bd442443a67a,ADJECTIVE,ADJEKTIV,C2,C2,C2,C2,,,level=C2 | word_world=needs_context,,
level_only,1,a74186e3-cf89-421c-8837-e900c568932b,ADVERB,ADVERB,C2,C2,C2,C2,,,level=C2 | word_world=needs_context,,
level_only,1,4ad508cb-54f0-4254-a427-550a40cac0c0,AIDS,AIDS,B2,B2,B2,B2,,,level=B2 | word_world=needs_context,,
level_only,1,781d8145-7493-4714-99e5-862aaf081d93,abandon,aufgeben,B2,B2,B2,B2,,,level=B2 | word_world=needs_context,,
level_only,1,8deb1c50-23df-4689-bce5-297920656ff7,ability,fähigkeit,A2,A2,A2,A2,,,level=A2 | word_world=needs_context,,
level_only,1,4a338581-4090-478c-97d9-31e046ca92e4,able,fähig,A2,A2,A2,A2,,,level=A2 | word_world=needs_context,,
level_only,1,b5601c77-d701-414c-b432-79d259decca6,abolish,abschaffen,C1,C1,C1,C1,,,level=C1 | word_world=needs_context,,
level_only,1,2fe52404-3319-4a8b-b724-4a660b225568,abortion,abtreibung,C1,C1,C1,C1,,,level=C1 | word_world=needs_context,,
level_only,1,d861a970-1c9d-416c-8770-93cd2ca563be,above,über,A1,A1,A1,A1,,,level=A1 | word_world=needs_context,,
level_only,1,4688084e-c215-4f23-9127-e7a2fdd66a61,abroad,im Ausland,B2,B2,B2,B2,,,level=B2 | word_world=needs_context,,
level_only,1,1bfc1462-e340-40cb-a5dc-1af89ad78352,abrupt,abrupt,C2,C2,C2,C2,,,level=C2 | word_world=needs_context,,
level_only,1,79228f78-960f-4863-8ba8-a584a5af8e89,abruptly,abrupt,C2,C2,C2,C2,,,level=C2 | word_world=needs_context,,
level_only,1,5f8504df-595f-4b05-853e-4c6ba36f0bc7,absence,abwesenheit,C1,C1,C1,C1,,,level=C1 | word_world=needs_context,,
level_only,1,61bac0ef-373e-46a0-9807-2af08b0bb562,absent,abwesend,C1,C1,C1,C1,,,level=C1 | word_world=needs_context,,
level_only,1,28988cfb-ee73-42f1-8ed3-e1d594160d3b,absolute,absolut,B2,B2,B2,B2,,,level=B2 | word_world=needs_context,,
level_only,1,eac9f278-2161-47c8-8ded-fe352704834e,absolutely,absolut,B1,B1,B1,B1,,,level=B1 | word_world=needs_context,,
level_only,1,ce323487-4f52-4bb1-94c3-f0d74cbf66da,absorb,absorbieren,B2,B2,B2,B2,,,level=B2 | word_world=needs_context,,
level_only,1,a930a245-301c-4dc8-b58b-b44518719196,abstract,abstrakt,B2,B2,B2,B2,,,level=B2 | word_world=needs_context,,
level_only,1,9266cd27-a56d-4f9f-9c7e-7193819c7fe2,absurd,absurd,C1,C1,C1,C1,,,level=C1 | word_world=needs_context,,
level_only,1,933fa0e4-98c9-4b38-869f-bb3f916ac83d,abuse,missbrauchen,C1,C1,C1,C1,,,level=C1 | word_world=needs_context,,
level_only,1,8eec5fd2-2c84-4765-863d-feca5eaeb526,abusive,missbräuchlich,C2,C2,C2,C2,,,level=C2 | word_world=needs_context,,
level_only,1,e977d0d0-3643-47c6-bc9a-3256770fbeb2,academic,akademisch,B1,B1,B1,B1,,,level=B1 | word_world=needs_context,,
level_only,1,4b54e06d-a4b2-42b7-8770-08ef15d9425b,academy,akademie,C1,C1,C1,C1,,,level=C1 | word_world=needs_context,,
level_only,1,08da39ae-8393-4e5b-8636-87ec83c03524,accent,akzent,B2,B2,B2,B2,,,level=B2 | word_world=needs_context,,
level_only,1,306f9305-ba80-4ae0-b87a-ffcee5dbc11b,accept,akzeptieren,A2,A2,A2,A2,,,level=A2 | word_world=needs_context,,
level_top_500,3,72d380f8-7264-4164-981a-71c7204300f7,a,a,A2,Top 500 Words,Top 500 Words,A2,Top 500 Words,,level=A2 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,533c33ba-fe78-44a7-a195-9ecdc2162e52,about,über,A1,A1; Top 500 Words,A1; Top 500 Words,A1,Top 500 Words,,level=A1 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,004e283b-efdf-4b34-8f2c-160334f577a5,after,nach,A2,A1; A2; Top 500 Words,A1; A2; Top 500 Words,A1; A2,Top 500 Words,,level=A1; A2 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,4932c77e-8fda-41ab-a211-49ff3dd36dcc,afternoon,nachmittag,A1,A1; Top 500 Words,A1; Top 500 Words,A1,Top 500 Words,,level=A1 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,ccb6a299-be0d-49cd-b1e6-bcee98bf7eec,again,wieder,A1,A1; Top 500 Words,A1; Top 500 Words,A1,Top 500 Words,,level=A1 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,da97a037-fc18-4a8b-9cab-412c018a44dc,age,alter,B1,A1; B1; Top 500 Words,A1; B1; Top 500 Words,A1; B1,Top 500 Words,,level=A1; B1 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,3dadc66d-6fd9-42a5-9949-8a99a8ad0045,agree,zustimmen,A1,A1; Top 500 Words,A1; Top 500 Words,A1,Top 500 Words,,level=A1 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,931d4c05-6076-4fb1-96a2-25da99cf65c0,allow,erlauben,C2,C2; Top 500 Words,C2; Top 500 Words,C2,Top 500 Words,,level=C2 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,fcc46733-aef5-4d9d-ad91-93cc259a3f0c,alone,allein,A2,A2; Top 500 Words,A2; Top 500 Words,A2,Top 500 Words,,level=A2 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,22439712-19ad-4cbb-abf0-c079473b6197,already,bereits,A2,A2; Top 500 Words,A2; Top 500 Words,A2,Top 500 Words,,level=A2 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,af35a638-4c68-426a-a843-c04bfe35da08,alright,in Ordnung,B1,Top 500 Words,Top 500 Words,B1,Top 500 Words,,level=B1 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,bc9a0c8a-1a59-45ce-80da-71f2236c00e1,always,immer,A1,A1; Top 500 Words,A1; Top 500 Words,A1,Top 500 Words,,level=A1 | content_package=Top 500 Words | word_world=needs_context,,
level_top_500,3,28d41214-889f-42ea-af4d-8ac633dfec85,amazing,erstaunlich,A1,A1; Top 500 Words,A1; Top 500 Words,A1,Top 500 Words,,level=A1 | content_package=Top 500 Words | word_world=needs_context,,
level_topic,4,af48d112-12ab-4c23-a889-297668951b6e,accomplish,erreichen,B2,B2; Productivity,Productivity,B2,,Productivity,level=B2 | word_world=Productivity,,
level_topic,4,28a979ad-771f-4d71-8b66-705648aac246,account,Konto,B2,B1; B2; Money & Shopping,Money & Shopping,B1; B2,,Money & Shopping,level=B1; B2 | word_world=Money & Shopping,,
level_topic,4,6bcf5843-588d-48c6-8803-a76a479daab8,accountability,Verantwortungsübernahme,C1,C1; Relationships,Relationships,C1,,Relationships,level=C1 | word_world=Relationships,,
level_topic,4,9e1e69c8-6b9a-4c64-a6ac-96d0268a809a,accountant,Buchhalter/in,A2,B2; Work & Careers,Work & Careers,A2; B2,,Work & Careers,level=A2; B2 | word_world=Work & Careers,,
level_topic,4,c35fd476-c405-447c-9084-cff1fb7d203c,achieve,erreichen,A2,A2; Productivity,Productivity,A2,,Productivity,level=A2 | word_world=Productivity,,
level_topic,4,3463aaf1-8b4d-4cd9-a3e0-77d037bf1e29,acid,säure,C1,B2; C1; Science,Science,B2; C1,,Science,level=B2; C1 | word_world=Science,,
level_topic,4,e14579d5-300c-4845-9603-d3b27ccf345f,ad,Anzeige/Werbung,B1,B1; Media & News,Media & News,B1,,Media & News,level=B1 | word_world=Media & News,,
level_topic,4,88389ee6-0548-482a-b591-a0337bd489f5,adaptation,Anpassung,C1,C1; Environment,Environment,C1,,Environment,level=C1 | word_world=Environment,,
level_topic,4,3363a26e-ae4d-43c7-a5f4-9f2aaff0a7c0,aesthetic,ästhetik,C1,Art & Literature; C1,Art & Literature,C1,,Art & Literature,level=C1 | word_world=Art & Literature,,
level_topic,4,1bde0f83-6f61-442d-be8f-5d28274f86af,affordable,erschwinglich,B2,B2; Money & Shopping,Money & Shopping,B2,,Money & Shopping,level=B2 | word_world=Money & Shopping,,
level_topic,4,1e8579bc-cadf-42ed-9553-e1a7a5627bc6,agenda,Tagesordnung,B1,B2; Work & Careers,Work & Careers,B1; B2,,Work & Careers,level=B1; B2 | word_world=Work & Careers,,
level_topic,4,1680ec4f-5390-43b4-8418-07714be3f269,aggressive,aggressiv,C1,Animals; B2,Animals,B2; C1,,Animals,level=B2; C1 | word_world=Animals,,
level_topic,4,754df01a-debe-4314-9936-24a2a0bf3ee8,agreement,Vereinbarung,B1,B1; Relationships,Relationships,B1,,Relationships,level=B1 | word_world=Relationships,,
level_topic,4,7d416fbd-f2b3-4f44-b8db-09cf8076a500,alcohol,alkohol,B1,B1; Science,Science,B1,,Science,level=B1 | word_world=Science,,
level_topic,4,028f098f-a545-4ab0-bedb-5596cdb23ec0,allowance,Freibetrag,C1,C1; Money & Shopping,Money & Shopping,C1,,Money & Shopping,level=C1 | word_world=Money & Shopping,,
