review_block,priority,word_key,base_term,de_translation,level,category,word_world,conflict_type,suggested_action,review_decision,review_note
exakte_dubletten,1,969a31a5-c475-4ec9-b62f-b55829f5b669,adjective,adjektiv,A2,Grammar & Syntax,Grammar & Syntax,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,f91f2280-02de-4ffa-82dc-bd442443a67a,ADJECTIVE,ADJEKTIV,C2,C2,C2,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,8f1acc1f-759c-4615-9110-73304615a149,adverb,adverb,A2,Grammar & Syntax,Grammar & Syntax,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,a74186e3-cf89-421c-8837-e900c568932b,ADVERB,ADVERB,C2,C2,C2,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,3d018bfe-bd5d-4ba2-a448-6a92f54eb7bb,behind,hinter,,Productivity,Productivity,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,857507cd-ca70-4a7d-bc5f-66dc09e7f648,behind,hinter,A1,A1,A1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,0a29d3d0-ad57-4c78-94b7-ad6d603915c0,dash,Bindestrich,,Productivity,Productivity,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,e09286d3-351c-4f04-a14a-b7d851c25713,dash,bindestrich,C2,C2,C2,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,37a99d9c-9192-44ce-83b9-08eee8bca169,entire,gesamte,,Productivity,Productivity,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,2a5d060a-cddf-4a67-8ce7-a21367c00fe1,entire,gesamte,B2,B2,B2,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,b55a6414-ed80-41ad-b963-f409eeb457d4,friday,freitag,A1,Top 500 Words,Top 500 Words,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,e7f53ea2-1273-4091-923d-74b4b9b7ab53,Friday,Freitag,A1,A1,A1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,1aff8ead-820c-447c-9dc9-fe5981d91412,interview,Interview,,Productivity,Productivity,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,b07abd1a-d672-4f35-a12c-86c0ff47062d,interview,Interview,A1,A1; Media & News,Media & News,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,580cb159-f590-48a8-8097-5f071ae3910b,march,märz,C1,C1,C1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,4b25bc9e-6b24-4365-94a7-eafc643f3478,March,März,A1,A1,A1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,7e13f364-e57a-4b02-a693-dbfd6b82dbc9,may,mai,A2,A2; Grammar & Syntax,A2; Grammar & Syntax,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,1258ac7f-a1cf-4272-89fd-133da42d97be,May,Mai,A1,A1,A1,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
exakte_dubletten,1,f46d6361-092b-43f9-89d1-c38e629a1188,monday,montag,B1,Top 500 Words,Top 500 Words,exact_duplicate,keep / merge_later / split_meaning / reject / needs_context,,
