screenshot_priority,word_key,base_term,de_translation,level,category,word_world,suggested_use,selection_note
travel-01,ee84c64b-482c-4aa9-be5b-fc0c57ede9b4,luggage,Gepäck,A1,Travel,Travel,onboarding,approved_for_mvp; short everyday term
travel-02,6c81d3e1-03aa-44f9-b2de-543b0b0d2995,one-way ticket,einfache Fahrkarte,A1,Travel,Travel,onboarding,approved_for_mvp; short everyday term
travel-03,c1015783-60e2-4059-b052-e60e5b855c40,airport,Flughafen,A1,A1; Top 500 Words; Travel,Travel,onboarding,approved_for_mvp; structure metadata still needs later cleanup
travel-04,450e2469-1a1f-45f1-bb13-c1ede8f0c262,bag,Tasche,A1,A1; Top 500 Words; Travel,Travel,home_word_world,approved_for_mvp; structure metadata still needs later cleanup
travel-05,4a3fa40a-7baa-4b94-920a-c47bb852123a,international flight,internationaler Flug,A1,Travel,Travel,home_word_world,approved_for_mvp; short everyday term
travel-06,2faead6c-5af9-4f27-82ee-d745847374aa,mobile check-in,mobiles Einchecken,A1,Travel,Travel,home_word_world,approved_for_mvp; short everyday term
travel-07,5de5bfd1-1cfa-4cb0-897a-359c7580bc60,passport,Reisepass,A1,A1; Travel,Travel,home_word_world,approved_for_mvp; structure metadata still needs later cleanup
travel-08,8c5fbc2d-57c0-416f-b4a7-0bffe823b6b6,plane,Flugzeug,A1,A1; Travel,Travel,home_word_world,approved_for_mvp; structure metadata still needs later cleanup
travel-09,91d5a2e0-9e4e-44ac-a8f0-0dd557a92e29,room,Zimmer,A1,A1; Top 500 Words; Travel,Travel,word_game,approved_for_mvp; structure metadata still needs later cleanup
travel-10,d2d9bc2e-dd94-4385-ba28-a6023f5a5945,bus,Bus,A1,A1; Top 500 Words; Travel,Travel,word_game,approved_for_mvp; internationalism; avoid as sole translation example
travel-11,3f52898b-a9eb-4ebf-b5d9-625d894514f3,hotel,Hotel,A1,A1; Top 500 Words; Travel,Travel,word_game,approved_for_mvp; internationalism; avoid as sole translation example
food-01,1746b948-fb3f-4bde-bd61-c111530cdaff,napkin,Serviette,A1,Food & Cooking,Food & Cooking,onboarding,approved_for_mvp; short everyday term
food-02,9cd0dbcf-c8a2-4f33-9605-c79f6cb06285,pasta,Nudeln,A1,Food & Cooking,Food & Cooking,onboarding,approved_for_mvp; short everyday term
food-03,51c9fc7c-ee5e-4587-8060-560df8aa6dfc,salty,salzig,A1,Food & Cooking,Food & Cooking,onboarding,approved_for_mvp; short everyday term
food-04,8107c183-e509-4ff9-bf0a-4c973e6bfb4b,pepper shaker,Pfefferstreuer,A1,Food & Cooking,Food & Cooking,home_word_world,approved_for_mvp; short everyday term
food-05,a9562214-069d-4a85-b3db-e461a827d377,salt shaker,Salzstreuer,A1,Food & Cooking,Food & Cooking,home_word_world,approved_for_mvp; short everyday term
food-06,798d6f26-ee0f-4c29-9065-b6e76493c6bb,to cook,kochen,A1,Food & Cooking; Home & Living,Food & Cooking; Home & Living,home_word_world,approved_for_mvp; short everyday term
food-07,c194acb8-eff0-40ce-a2e9-b1c47ae25cf0,to cut,schneiden,A1,Food & Cooking,Food & Cooking,home_word_world,approved_for_mvp; short everyday term
food-08,9a428aaa-698e-438a-8f0b-a2ab16416124,apple,Apfel,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,home_word_world,approved_for_mvp; structure metadata still needs later cleanup
food-09,9d907689-20dc-4960-8b81-5ce06a4069b6,bottle,Flasche,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-10,0f985769-272e-4c37-b264-0a1a7e654480,bread,Brot,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-11,27035405-60ba-4e2a-9c59-78f049ffc112,breakfast,Frühstück,A1,A1; Food & Cooking; Top 500 Words,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
food-12,b9a50940-79e0-422d-b171-14dfc0245a36,carrot,Karotte,A1,A1; Food & Cooking,Food & Cooking,word_game,approved_for_mvp; structure metadata still needs later cleanup
