issue_type,word_key,base_language,base_term,de_translation,level,category,word_world,detail
top_500_as_category_or_word_world,72d380f8-7264-4164-981a-71c7204300f7,en,a,a,A2,Top 500 Words,Top 500 Words,
level_as_category_or_word_world,781d8145-7493-4714-99e5-862aaf081d93,en,abandon,aufgeben,B2,B2,B2,
level_as_category_or_word_world,8deb1c50-23df-4689-bce5-297920656ff7,en,ability,fähigkeit,A2,A2,A2,
level_as_category_or_word_world,4a338581-4090-478c-97d9-31e046ca92e4,en,able,fähig,A2,A2,A2,
level_as_category_or_word_world,b5601c77-d701-414c-b432-79d259decca6,en,abolish,abschaffen,C1,C1,C1,
level_as_category_or_word_world,2fe52404-3319-4a8b-b724-4a660b225568,en,abortion,abtreibung,C1,C1,C1,
level_as_category_or_word_world,533c33ba-fe78-44a7-a195-9ecdc2162e52,en,about,über,A1,A1; Top 500 Words,A1; Top 500 Words,
top_500_as_category_or_word_world,533c33ba-fe78-44a7-a195-9ecdc2162e52,en,about,über,A1,A1; Top 500 Words,A1; Top 500 Words,
level_as_category_or_word_world,d861a970-1c9d-416c-8770-93cd2ca563be,en,above,über,A1,A1,A1,
level_as_category_or_word_world,4688084e-c215-4f23-9127-e7a2fdd66a61,en,abroad,im Ausland,B2,B2,B2,
level_as_category_or_word_world,1bfc1462-e340-40cb-a5dc-1af89ad78352,en,abrupt,abrupt,C2,C2,C2,
level_as_category_or_word_world,79228f78-960f-4863-8ba8-a584a5af8e89,en,abruptly,abrupt,C2,C2,C2,
level_as_category_or_word_world,5f8504df-595f-4b05-853e-4c6ba36f0bc7,en,absence,abwesenheit,C1,C1,C1,
level_as_category_or_word_world,61bac0ef-373e-46a0-9807-2af08b0bb562,en,absent,abwesend,C1,C1,C1,
level_as_category_or_word_world,28988cfb-ee73-42f1-8ed3-e1d594160d3b,en,absolute,absolut,B2,B2,B2,
level_as_category_or_word_world,eac9f278-2161-47c8-8ded-fe352704834e,en,absolutely,absolut,B1,B1,B1,
level_as_category_or_word_world,ce323487-4f52-4bb1-94c3-f0d74cbf66da,en,absorb,absorbieren,B2,B2,B2,
level_as_category_or_word_world,a930a245-301c-4dc8-b58b-b44518719196,en,abstract,abstrakt,B2,B2,B2,
level_as_category_or_word_world,9266cd27-a56d-4f9f-9c7e-7193819c7fe2,en,absurd,absurd,C1,C1,C1,
level_as_category_or_word_world,933fa0e4-98c9-4b38-869f-bb3f916ac83d,en,abuse,missbrauchen,C1,C1,C1,
level_as_category_or_word_world,8eec5fd2-2c84-4765-863d-feca5eaeb526,en,abusive,missbräuchlich,C2,C2,C2,
level_as_category_or_word_world,e977d0d0-3643-47c6-bc9a-3256770fbeb2,en,academic,akademisch,B1,B1,B1,
level_as_category_or_word_world,4b54e06d-a4b2-42b7-8770-08ef15d9425b,en,academy,akademie,C1,C1,C1,
level_as_category_or_word_world,f34f5630-5a16-4a78-a317-e0f55986adab,en,accelerate,beschleunigen,C1,C1; Productivity; Transport,Productivity; Transport,
level_as_category_or_word_world,08da39ae-8393-4e5b-8636-87ec83c03524,en,accent,akzent,B2,B2,B2,
level_as_category_or_word_world,306f9305-ba80-4ae0-b87a-ffcee5dbc11b,en,accept,akzeptieren,A2,A2,A2,
level_as_category_or_word_world,56c3963d-9b17-44a8-b330-da715040ec31,en,acceptable,akzeptabel,B2,B2,B2,
