"word_id","term","translation","from_lang","to_lang","current_level","current_tags","proposed_word_worlds","proposed_level","decision","notes"
"b4b7f57d-f73a-492a-a693-63110229f7d7","buried","begraben","en","de","","","","","",""
"577f310a-1c4b-4e42-a925-187ba159394a","cities","Städte","en","de","","","","","",""
"0febef01-f685-4c8b-8826-af7753746fa3","confiscation","Beschlagnahmung","en","de","","","","","",""
"8915c19f-b3b8-44f6-a63c-6adea030086a","countries","Länder","en","de","","","","","",""
"297c7517-c6ea-4340-9601-6405ee65d654","destroyed","zerstört","en","de","","","","","",""
"715a3af7-0244-4fff-a382-6ae153c66b0c","graves","Gräber","en","de","","","","","",""
"8b48b271-2a4e-472e-a0d1-99c142cdc1ab","incident","Vorfall","EN","DE","","","","","",""
"0c165b4c-2afb-4861-ac60-75bf59a8611b","move","umziehen","EN","DE","","","","","",""
"ac426143-a234-4394-b48a-0928e6489b6c","reefs","Riffe","en","de","","","","","",""
"32464b29-fec5-4fd3-ba25-a873e3b0f8eb","satellite","Satellit","EN","DE","","","","","",""
"9dea269e-4638-47bc-b4c9-3ca0c7e21733","seized","beschlagnahmt","en","de","","","","","",""
"66d4eaa9-66d7-47fb-a8e6-58e14823e1a2","sites","Standorte","en","de","","","","","",""
"61ca2b4e-332c-4a20-82a8-76e962482f15","sold","verkauft","en","de","","","","","",""
"fd72add0-6144-4b98-bc52-4a737434c4ac","soldiers","Soldaten","en","de","","","","","",""
"2a7e4ef2-4585-4b25-9c63-d81bc694cce5","superstar","Superstar","en","de","","","","","",""
"6a6e9ac6-ddc4-4ee0-a6a6-51d8ad8edf3f","throughout","durchgehend","EN","DE","","","","","",""
